ZoneIDOrig,City
A9058zg,Fenton
A9058zg,Sappington
A9059zg,Independence
A9059zg,Blue Springs
A9059zg,Buckner
A9059zg,Grain Valley
A9059zg,Lone Jack
A9059zg,Pleasant Hill
A9059zg,Greenwood
A9059zg,Tarsney Lakes
A9059zg,Lee's Summit
A9059zg,Lake Lotawana
A9059zg,Oak Grove
A9059zg,Sibley
A9059zg,Levasy
A9060zg,Dardenne Prairie
A9060zg,O'Fallon
A9060zg,Josephville
A9060zg,Lake St. Louis
A9060zg,St. Paul
A9060zg,Wentzville
A9061zg,St. Peters
A9061zg,Dardenne Prairie
A9061zg,O'Fallon
A9061zg,Weldon Spring
A9061zg,Lake St. Louis
A9061zg,Cottleville
B0001zg,Auxvasse
B0001zg,Mokane
B0001zg,Bellflower
B0001zg,Tebbetts
B0001zg,High Hill
B0001zg,Wellsville
B0001zg,McKittrick
B0001zg,Rhineland
B0001zg,Montgomery City
B0001zg,Fulton
B0001zg,Kingdom City
B0001zg,Middletown
B0001zg,Jonesburg
B0001zg,Jefferson City
B0001zg,New Bloomfield
B0001zg,Holts Summit
B0001zg,Big Spring
B0001zg,New Florence
B0001zg,Danville
B0002zg,Novelty
B0002zg,Hurdland
B0002zg,Medill
B0002zg,Brashear
B0002zg,Greentop
B0002zg,Green City
B0002zg,Green Castle
B0002zg,Connelsville
B0002zg,Queen City
B0002zg,Memphis
B0002zg,Powersville
B0002zg,Newark
B0002zg,Kahoka
B0002zg,Winigan
B0002zg,Novinger
B0002zg,Edina
B0002zg,Alexandria
B0002zg,Wyaconda
B0002zg,Unionville
B0002zg,Lancaster
B0002zg,Glenwood
B0002zg,St. Francisville
B0002zg,Downing
B0002zg,Kirksville
B0002zg,Wayland
B0002zg,Milan
B0002zg,Plevna
B0003zg,New Cambria
B0003zg,Glasgow
B0003zg,New Franklin
B0003zg,Armstrong
B0003zg,Callao
B0003zg,Keytesville
B0003zg,Prairie Hill
B0003zg,Excello
B0003zg,Brunswick
B0003zg,Salisbury
B0003zg,Macon
B0003zg,Bevier
B0003zg,Moberly
B0003zg,Clark
B0003zg,Cairo
B0003zg,Higbee
B0003zg,Renick
B0003zg,Atlanta
B0003zg,La Plata
B0003zg,Fayette
B0003zg,Huntsville
B0004zg,Jackson
B0004zg,Delta
B0004zg,Gordonville
B0004zg,Cape Girardeau
B0004zg,Shawneetown
B0004zg,Oak Ridge
B0004zg,Scott City
B0004zg,New Wells
B0004zg,Burfordville
B0004zg,Dutchtown
B0004zg,Millersville
B0006zg,La Monte
B0006zg,Smithton
B0006zg,Sedalia
B0006zg,Slater
B0006zg,Marshall
B0006zg,Miami
B0006zg,Nelson
B0006zg,Sweet Springs
B0006zg,Green Ridge
B0006zg,Windsor
B0008zg,Stotts City
B0008zg,Chesapeake
B0008zg,Everton
