GeoID,Years,GeoType,TotalPop,PctRural,PctMinority,PctHispanic,PctBlackNH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns
29051,10yrs,County,75990,29.07,16.77,2.36,11.08,3.14,11.45,8.60,32.10,11.98,8.90
29053,05yrs,County,17601,53.20,10.49,1.32,6.82,1.00,13.78,11.30,22.10,12.08,9.90
29053,10yrs,County,17601,53.20,10.49,1.32,6.82,1.18,12.09,11.80,20.70,14.29,10.90
29055,05yrs,County,24696,73.31,3.61,1.48,0.26,1.04,18.33,22.10,11.50,18.48,16.50
29055,10yrs,County,24696,73.31,3.61,1.48,0.26,0.81,18.79,21.95,12.55,20.55,15.00
29057,05yrs,County,7883,100.00,5.16,1.53,0.37,1.49,15.95,12.80,12.70,21.51,13.60
29057,10yrs,County,7883,100.00,5.16,1.53,0.37,1.20,15.72,14.10,13.95,21.79,16.15
29059,05yrs,County,16777,81.93,4.41,1.55,0.17,1.57,22.37,16.60,12.90,13.35,15.70
29059,10yrs,County,16777,81.93,4.41,1.55,0.17,1.09,21.37,18.25,13.40,18.02,18.40
29061,05yrs,County,8433,100.00,2.63,1.03,0.27,0.71,12.09,15.00,18.50,14.55,16.70
29061,10yrs,County,8433,100.00,2.63,1.03,0.27,0.89,12.48,15.15,16.75,15.26,19.55
29063,05yrs,County,12892,62.40,14.33,1.70,11.28,0.91,12.15,12.70,13.80,12.19,7.40
29063,10yrs,County,12892,62.40,14.33,1.70,11.28,1.18,13.39,13.95,12.35,11.61,8.70
29065,05yrs,County,15657,68.57,4.06,0.95,0.35,0.96,20.46,16.80,15.30,22.41,14.60
29065,10yrs,County,15657,68.57,4.06,0.95,0.35,1.05,24.19,19.30,13.85,21.27,16.60
29067,05yrs,County,13684,79.12,3.41,0.80,0.20,0.75,20.53,17.90,10.80,20.39,15.50
29067,10yrs,County,13684,79.12,3.41,0.80,0.20,0.60,19.11,19.35,10.25,20.94,17.00
29069,05yrs,County,31953,50.46,17.07,5.40,9.64,3.11,20.58,23.80,13.80,25.70,15.60
29069,10yrs,County,31953,50.46,17.07,5.40,9.64,2.84,21.33,25.95,12.35,26.20,16.15
29071,05yrs,County,101492,55.60,4.04,1.38,0.83,1.36,11.83,11.50,20.90,10.46,8.00
29071,10yrs,County,101492,55.60,4.04,1.38,0.83,1.38,11.16,12.30,19.45,11.50,9.40
29073,05yrs,County,15222,80.87,2.77,1.00,0.17,0.95,13.21,12.20,19.20,8.99,6.80
29073,10yrs,County,15222,80.87,2.77,1.00,0.17,0.79,15.11,14.25,17.40,12.14,8.40
29075,05yrs,County,6738,100.00,1.99,0.53,0.30,1.09,13.48,10.80,19.10,14.81,10.60
29075,10yrs,County,6738,100.00,1.99,0.53,0.30,0.96,13.96,11.55,18.20,15.51,12.30
29077,05yrs,County,275174,14.00,10.46,2.98,2.81,3.03,13.10,8.30,30.50,16.40,10.70
29077,10yrs,County,275174,14.00,10.46,2.98,2.81,3.15,12.38,8.95,29.60,17.76,12.70
29079,05yrs,County,10261,45.46,3.97,1.73,0.57,2.70,12.10,13.60,17.10,17.30,17.80
29079,10yrs,County,10261,45.46,3.97,1.73,0.57,1.83,12.87,14.05,16.95,17.41,17.00
29081,05yrs,County,8957,70.39,3.33,1.57,0.31,1.52,16.32,11.70,16.50,16.55,12.40
29081,10yrs,County,8957,70.39,3.33,1.57,0.31,1.66,16.78,13.65,14.25,16.00,12.25
29083,05yrs,County,22272,49.55,4.68,1.66,0.98,1.69,18.64,12.20,15.90,21.12,11.50
29083,10yrs,County,22272,49.55,4.68,1.66,0.98,1.32,19.53,12.60,15.50,19.85,12.70
29085,05yrs,County,9627,100.00,3.63,0.95,0.25,0.71,27.41,15.70,9.00,17.26,15.50
29085,10yrs,County,9627,100.00,3.63,0.95,0.25,0.84,24.75,16.70,10.10,20.63,17.30
29087,05yrs,County,4912,100.00,2.79,0.79,0.14,0.61,13.75,8.90,19.70,10.07,8.50
29087,10yrs,County,4912,100.00,2.79,0.79,0.14,0.52,13.87,9.35,19.00,11.13,10.35
29089,05yrs,County,10144,64.06,8.91,1.20,5.20,0.74,13.97,12.10,25.20,14.15,7.80
29089,10yrs,County,10144,64.06,8.91,1.20,5.20,1.11,13.83,12.85,24.40,15.66,9.10
29091,05yrs,County,40400,72.17,4.71,1.73,0.38,1.15,18.78,13.00,18.00,22.27,13.80
29091,10yrs,County,40400,72.17,4.71,1.73,0.38,1.50,17.24,14.75,16.50,22.54,13.75
29093,05yrs,County,10630,74.85,4.40,1.25,1.23,1.11,22.35,18.50,10.80,22.30,11.30
29093,10yrs,County,10630,74.85,4.40,1.25,1.23,0.95,25.07,19.85,10.85,22.18,13.75
29095,05yrs,County,674158,3.84,36.72,8.37,23.65,6.00,11.51,9.40,31.60,14.65,11.20
29095,10yrs,County,674158,3.84,36.72,8.37,23.65,5.82,11.67,10.35,29.80,16.07,13.40
29097,05yrs,County,117404,23.69,13.96,6.84,1.84,4.41,12.26,13.20,23.60,17.10,13.10
29097,10yrs,County,117404,23.69,13.96,6.84,1.84,4.22,12.83,13.95,22.30,17.47,15.15
29099,05yrs,County,218733,30.20,4.57,1.56,0.81,1.93,11.07,10.90,20.40,9.58,8.10
29099,10yrs,County,218733,30.20,4.57,1.56,0.81,1.78,11.50,11.65,19.20,10.37,9.35
29101,05yrs,County,52595,50.44,11.84,3.06,4.23,2.87,10.59,7.50,28.90,14.48,9.20
29101,10yrs,County,52595,50.44,11.84,3.06,4.23,2.60,10.44,8.25,27.45,15.95,10.05
29103,05yrs,County,4131,100.00,2.52,0.82,0.34,0.86,18.10,13.10,17.20,18.79,20.80
29103,10yrs,County,4131,100.00,2.52,0.82,0.34,0.99,18.45,13.80,15.40,21.27,21.80
29105,05yrs,County,35571,60.51,5.55,2.02,0.67,1.00,16.01,14.90,14.60,15.01,10.80
29105,10yrs,County,35571,60.51,5.55,2.02,0.67,1.07,17.55,16.65,14.35,17.18,14.05
29107,05yrs,County,33381,56.95,7.13,2.22,2.17,1.35,13.10,9.50,20.30,12.56,8.50
29107,10yrs,County,33381,56.95,7.13,2.22,2.17,1.32,13.11,11.20,19.05,11.62,9.65
29109,05yrs,County,38634,58.69,9.04,6.33,0.21,3.08,16.85,15.30,16.00,16.85,13.50
29109,10yrs,County,38634,58.69,9.04,6.33,0.21,2.71,15.52,15.90,15.80,17.63,14.50
29111,05yrs,County,10211,100.00,6.51,1.56,3.14,0.78,10.75,11.50,13.60,18.61,9.80
29111,10yrs,County,10211,100.00,6.51,1.56,3.14,1.28,11.64,12.00,13.50,15.06,9.70
29113,05yrs,County,52566,74.83,6.09,1.96,1.83,1.22,13.81,10.50,16.80,11.02,7.80
29113,10yrs,County,52566,74.83,6.09,1.96,1.83,1.43,14.80,12.80,15.50,13.04,9.80
29115,05yrs,County,12761,66.45,3.64,1.51,0.67,0.95,10.63,10.60,16.90,15.39,10.60
29115,10yrs,County,12761,66.45,3.64,1.51,0.67,0.70,12.38,11.30,14.50,16.79,12.70
29117,05yrs,County,15195,36.60,5.32,1.19,2.40,0.75,11.66,13.40,18.80,16.23,11.10
29117,10yrs,County,15195,36.60,5.32,1.19,2.40,0.81,11.18,13.20,17.95,15.99,11.95
29119,05yrs,County,23083,99.99,18.99,11.21,0.55,7.87,15.37,22.50,11.50,18.58,18.70
