Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,ZoneName
A9001,Both,AllSite,05yrs,313287,1341,425.8,402.5,450.1,233407,1120,432.2,406.1,459.6,33817,100,362.5,289.6,447.6,19099,41,589.7,399.9,827.8,New Castle 7
A9002,Both,AllSite,05yrs,294749,1872,525.3,501.1,550.4,191624,1395,557.1,527.1,588.6,75967,363,456.8,409.9,507.7,17558,53,442.4,320.3,592.2,Kent 1
A9003,Both,AllSite,05yrs,329254,2190,450.7,431.1,471.2,244777,1827,459.6,437.1,483.2,45757,226,412.3,358.6,472.0,14122,58,740.0,552.0,965.5,New Castle 4
A9004,Both,AllSite,05yrs,386847,3623,438.8,421.7,456.7,334087,3378,438.0,419.6,457.3,23497,102,341.9,275.8,420.1,21502,48,378.2,259.3,526.7,Sussex 3
A9005,Both,AllSite,05yrs,315313,2048,419.2,399.9,439.2,261890,1845,431.3,410.0,453.6,16811,63,290.0,221.4,374.9,13673,36,375.6,257.6,525.5,New Castle 3
A9006,Both,AllSite,05yrs,294002,1646,489.1,465.1,514.1,154532,1064,505.3,473.6,538.6,102247,460,475.8,432.2,522.6,25033,65,421.8,320.7,542.4,Kent 3
A9007,Both,AllSite,05yrs,353931,2103,424.3,405.4,443.9,249126,1722,429.7,408.0,452.4,68967,303,429.4,379.8,483.5,29298,44,306.3,213.0,422.5,Sussex 2
A9008,Both,AllSite,05yrs,295969,1537,593.2,560.3,627.5,139882,991,668.5,622.6,716.8,92870,425,550.9,493.9,612.5,33816,57,539.6,361.0,762.6,New Castle 8
A9009,Both,AllSite,05yrs,312126,1936,608.2,580.0,637.5,218973,1490,618.9,586.2,652.9,69929,333,570.0,505.2,640.5,12282,43,557.4,390.2,767.8,New Castle 9
A9010,Both,AllSite,05yrs,304022,1601,437.2,415.6,459.7,151330,1115,481.7,451.6,513.5,75777,321,407.1,362.7,455.4,69396,130,293.7,241.1,353.7,New Castle 2
A9011,Both,AllSite,05yrs,294744,1977,507.8,484.9,531.6,210872,1608,526.3,499.8,553.9,56960,277,429.2,377.4,486.2,19835,55,533.4,390.7,708.1,Kent 2
A9012,Both,AllSite,05yrs,298228,1612,483.9,459.9,508.9,118689,945,543.8,507.5,582.3,116324,514,431.8,392.9,473.5,49038,96,365.1,281.6,463.2,New Castle 6
A9013,Both,AllSite,05yrs,292177,1519,475.0,450.6,500.3,76274,472,484.2,439.5,532.7,188827,968,484.7,453.6,517.4,20307,45,295.7,211.3,401.5,New Castle 1
A9014,Both,AllSite,05yrs,320448,1808,478.2,455.9,501.4,182608,1316,491.4,463.7,520.6,70222,300,436.8,385.9,492.4,44773,107,466.4,366.4,582.3,New Castle 5
A9015,Both,AllSite,05yrs,381141,3007,497.4,478.2,517.2,271412,2634,513.6,491.3,536.9,50423,237,461.9,402.5,527.6,52081,67,268.1,197.8,352.9,Sussex 1
Nationwide,Both,AllSite,05yrs,1617979533,8682749,449.2,448.8,449.5,1002418996,6558544,466.5,466.1,466.9,212147875,937334,453.5,452.6,454.5,289871306,727935,352.2,351.4,353.1,
Statewide,Both,AllSite,05yrs,4786239,30040,475.3,469.8,480.9,3039483,23073,488.2,481.5,495.0,1088395,5030,453.4,440.5,466.6,441816,959,385.8,359.2,413.7,
A9001,Female,AllSite,05yrs,162386,661,405.4,374.0,438.8,120378,546,416.1,380.2,454.7,17798,52,332.5,242.9,443.3,10849,17,545.5,284.7,911.6,New Castle 7
A9002,Female,AllSite,05yrs,152387,909,485.0,453.1,518.8,98855,682,527.5,486.8,570.9,39822,174,409.4,349.6,476.6,8591,23,339.0,208.2,522.0,Kent 1
A9003,Female,AllSite,05yrs,171004,1126,437.1,410.2,465.6,126951,941,447.5,416.5,480.6,25044,120,387.4,318.9,466.9,6208,29,761.6,486.4,1123.5,New Castle 4
A9004,Female,AllSite,05yrs,202011,1651,402.6,378.6,428.1,175400,1531,396.1,370.5,423.4,12271,56,370.3,274.2,490.3,10419,31,418.3,265.0,622.6,Sussex 3
A9005,Female,AllSite,05yrs,164390,1041,410.1,383.2,438.5,136958,947,428.6,398.5,460.7,8873,31,257.2,172.0,374.7,6650,,,,,New Castle 3
A9006,Female,AllSite,05yrs,153690,799,441.6,410.1,474.9,78800,530,487.4,443.2,534.9,54925,215,404.9,350.9,464.7,13110,34,398.6,271.6,560.2,Kent 3
A9007,Female,AllSite,05yrs,183728,976,382.6,357.3,409.2,129535,783,383.8,354.6,415.0,37040,154,389.4,327.5,459.8,13724,24,336.0,200.5,521.3,Sussex 2
A9008,Female,AllSite,05yrs,152016,772,553.2,510.8,598.1,71088,497,653.4,591.2,720.5,49817,220,496.1,425.9,574.1,16406,28,501.5,304.5,762.6,New Castle 8
A9009,Female,AllSite,05yrs,151673,950,584.4,546.4,624.4,107274,744,606.5,561.9,653.9,32688,157,536.4,450.4,633.7,6066,25,640.8,377.0,1006.1,New Castle 9
A9010,Female,AllSite,05yrs,157510,810,409.7,380.8,440.3,79850,559,459.0,416.8,504.9,40109,168,375.2,319.4,438.2,33826,73,339.8,260.6,434.0,New Castle 2
A9011,Female,AllSite,05yrs,151747,929,467.1,436.4,499.5,108350,773,499.8,463.4,538.6,29969,118,366.7,300.5,443.4,9555,24,434.9,269.3,659.0,Kent 2
A9012,Female,AllSite,05yrs,156319,809,444.6,413.6,477.3,61925,471,516.0,466.4,569.9,62743,260,379.0,331.3,431.6,24452,53,366.0,258.1,500.8,New Castle 6
A9013,Female,AllSite,05yrs,153117,793,453.0,421.0,486.8,37880,246,504.3,438.9,577.5,101979,522,459.1,419.4,501.7,9801,19,257.0,145.4,415.7,New Castle 1
A9014,Female,AllSite,05yrs,166237,939,453.6,424.0,484.8,96185,682,468.4,430.9,508.7,37291,155,402.6,337.7,476.3,21931,68,472.9,355.1,615.3,New Castle 5
A9015,Female,AllSite,05yrs,193224,1365,451.7,425.3,479.5,139883,1185,467.1,435.7,500.5,24344,106,418.5,339.6,510.2,25052,39,287.0,187.9,415.1,Sussex 1
Nationwide,Female,AllSite,05yrs,821290473,4284327,423.2,422.8,423.6,508234510,3197178,442.8,442.3,443.3,110548817,464079,404.1,402.9,405.3,143504316,388073,344.9,343.7,346.0,
Statewide,Female,AllSite,05yrs,2471440,14633,442.8,435.3,450.4,1569311,11188,462.1,452.8,471.6,574714,2532,411.0,394.7,427.9,216639,506,379.4,344.2,416.9,
A9001,Male,AllSite,05yrs,150901,680,456.6,421.5,494.0,113029,574,458.9,420.5,500.2,16019,48,393.0,280.7,551.5,8250,24,911.0,509.9,1462.9,New Castle 7
A9002,Male,AllSite,05yrs,142362,963,577.5,540.5,616.4,92769,713,594.1,549.6,641.3,36146,189,518.1,444.5,600.7,8967,30,639.4,405.0,943.2,Kent 1
A9003,Male,AllSite,05yrs,158251,1064,473.9,444.8,504.5,117826,886,480.0,447.0,515.0,20713,106,448.5,364.4,546.8,7914,29,728.7,472.2,1063.4,New Castle 4
A9004,Male,AllSite,05yrs,184836,1972,483.3,458.7,509.3,158687,1847,487.9,461.2,516.3,11226,46,359.1,253.4,494.7,11083,17,361.8,182.9,616.8,Sussex 3
A9005,Male,AllSite,05yrs,150923,1007,435.2,407.4,464.6,124932,898,439.8,409.5,472.1,7938,32,334.3,225.8,480.7,7023,23,703.1,420.8,1080.8,New Castle 3
A9006,Male,AllSite,05yrs,140312,847,561.5,523.7,601.4,75732,534,542.6,496.3,592.5,47323,245,581.1,509.4,660.1,11924,31,484.6,315.1,705.4,Kent 3
A9007,Male,AllSite,05yrs,170203,1127,479.2,450.6,509.4,119592,939,488.6,456.1,523.2,31926,149,496.3,412.3,591.9,15574,20,282.5,162.3,447.2,Sussex 2
A9008,Male,AllSite,05yrs,143953,765,642.0,590.6,696.4,68794,494,691.8,623.5,765.4,43053,205,650.5,553.2,759.0,17411,29,748.2,377.7,1307.7,New Castle 8
A9009,Male,AllSite,05yrs,160453,986,642.9,600.1,687.8,111699,746,646.8,597.2,699.4,37241,176,607.1,511.2,715.1,6216,18,691.9,319.7,1239.3,New Castle 9
A9010,Male,AllSite,05yrs,146512,791,483.4,449.9,518.8,71480,556,530.1,485.5,578.2,35668,153,462.2,387.6,546.7,35570,57,258.2,188.5,343.1,New Castle 2
A9011,Male,AllSite,05yrs,142998,1048,554.3,520.3,590.1,102522,835,557.0,518.6,597.8,26991,159,495.9,417.6,585.1,10280,31,654.7,418.9,979.8,Kent 2
A9012,Male,AllSite,05yrs,141909,803,542.8,504.5,583.2,56765,474,590.8,536.5,649.7,53581,254,516.0,450.0,588.8,24586,43,380.3,247.1,549.9,New Castle 6
A9013,Male,AllSite,05yrs,139059,726,518.3,479.3,559.6,38394,226,497.4,430.3,572.7,86848,446,530.1,479.7,584.4,10507,26,358.6,221.5,545.1,New Castle 1
A9014,Male,AllSite,05yrs,154211,869,524.7,489.5,561.7,86423,634,536.4,493.9,581.8,32931,145,489.2,408.7,580.7,22842,39,528.1,340.4,766.4,New Castle 5
A9015,Male,AllSite,05yrs,187917,1642,555.1,526.9,584.6,131528,1449,572.4,540.3,606.4,26079,131,508.9,420.9,609.9,27030,28,254.7,157.4,384.6,Sussex 1
Nationwide,Male,AllSite,05yrs,796689060,4398422,487.9,487.4,488.3,494184486,3361366,501.9,501.3,502.5,101599058,473255,527.1,525.5,528.7,146366990,339862,372.0,370.7,373.4,
Statewide,Male,AllSite,05yrs,2314799,15407,520.3,511.9,528.9,1470172,11885,525.6,515.7,535.6,513681,2498,513.8,492.9,535.5,225177,453,400.0,359.5,443.4,
A9001,Female,Breast,05yrs,162386,236,148.3,129.3,169.3,120378,190,151.4,129.5,176.0,17798,20,121.7,71.4,193.2,10849,,,,,New Castle 7
A9002,Female,Breast,05yrs,152387,265,142.4,125.2,161.4,98855,191,148.0,126.8,172.0,39822,55,131.5,98.5,172.1,8591,,,,,Kent 1
A9003,Female,Breast,05yrs,171004,366,149.7,133.6,167.3,126951,294,144.7,127.1,164.4,25044,50,167.2,122.6,223.2,6208,,,,,New Castle 4
A9004,Female,Breast,05yrs,202011,454,115.2,102.0,129.9,175400,426,115.7,101.5,131.9,12271,17,121.1,66.5,202.3,10419,,,,,Sussex 3
A9005,Female,Breast,05yrs,164390,333,137.2,121.8,154.3,136958,298,142.1,124.8,161.4,8873,,,,,6650,,,,,New Castle 3
A9006,Female,Breast,05yrs,153690,233,131.2,114.1,150.1,78800,148,136.3,113.6,162.5,54925,68,131.6,101.4,168.0,13110,,,,,Kent 3
A9007,Female,Breast,05yrs,183728,285,117.3,103.0,133.1,129535,225,118.8,102.1,137.8,37040,48,115.6,83.4,156.1,13724,,,,,Sussex 2
A9008,Female,Breast,05yrs,152016,243,161.2,139.8,184.9,71088,140,171.4,141.7,205.8,49817,84,170.0,133.2,213.9,16406,,,,,New Castle 8
A9009,Female,Breast,05yrs,151673,313,185.9,165.2,208.5,107274,236,184.9,161.2,211.2,32688,59,189.9,142.1,248.7,6066,,,,,New Castle 9
A9010,Female,Breast,05yrs,157510,230,119.8,104.2,137.2,79850,147,126.7,104.9,152.2,40109,58,130.7,98.3,170.5,33826,22,100.2,61.2,153.8,New Castle 2
A9011,Female,Breast,05yrs,151747,259,129.8,113.9,147.5,108350,213,138.7,119.8,160.1,29969,38,108.7,75.2,152.3,9555,,,,,Kent 2
A9012,Female,Breast,05yrs,156319,244,134.4,117.6,153.0,61925,119,139.0,112.8,169.8,62743,107,146.2,118.3,178.9,24452,,,,,New Castle 6
A9013,Female,Breast,05yrs,153117,234,137.7,120.0,157.3,37880,78,169.2,131.3,215.2,101979,150,133.8,112.5,157.9,9801,,,,,New Castle 1
A9014,Female,Breast,05yrs,166237,272,134.3,118.2,152.0,96185,179,129.4,109.5,152.2,37291,62,159.9,120.8,207.8,21931,21,139.3,82.4,220.0,New Castle 5
A9015,Female,Breast,05yrs,193224,405,139.6,124.6,156.0,139883,344,140.8,123.4,160.3,24344,40,164.5,115.5,227.0,25052,,,,,Sussex 1
Nationwide,Female,Breast,05yrs,821290473,1275223,128.0,127.8,128.3,508234510,941860,133.6,133.3,133.9,110548817,146388,127.8,127.2,128.5,143504316,113671,99.2,98.6,99.8,
Statewide,Female,Breast,05yrs,2471440,4392,136.3,132.1,140.7,1569311,3242,138.4,133.2,143.8,574714,868,139.8,130.4,149.7,216639,140,101.8,84.6,121.3,
A9001,Male,Prostate,05yrs,150901,201,127.0,109.4,146.8,113029,153,113.5,95.6,134.1,16019,21,172.1,101.6,295.4,8250,,,,,New Castle 7
A9002,Male,Prostate,05yrs,142362,297,164.9,146.2,185.4,92769,187,140.7,120.8,163.3,36146,89,235.1,187.5,291.4,8967,,,,,Kent 1
A9003,Male,Prostate,05yrs,158251,284,116.7,103.3,131.7,117826,214,104.7,90.9,120.5,20713,44,175.7,126.5,239.0,7914,,,,,New Castle 4
A9004,Male,Prostate,05yrs,184836,494,104.6,94.9,115.6,158687,448,100.7,90.7,112.2,11226,21,136.8,84.1,215.6,11083,,,,,Sussex 3
A9005,Male,Prostate,05yrs,150923,288,113.4,100.4,127.9,124932,245,107.8,94.4,123.1,7938,,,,,7023,,,,,New Castle 3
A9006,Male,Prostate,05yrs,140312,264,169.6,149.5,191.8,75732,127,125.8,104.4,150.8,47323,104,234.8,191.4,285.3,11924,,,,,Kent 3
A9007,Male,Prostate,05yrs,170203,233,91.2,79.6,104.2,119592,170,79.7,67.9,93.5,31926,56,173.2,127.5,230.0,15574,,,,,Sussex 2
A9008,Male,Prostate,05yrs,143953,223,162.9,140.0,188.4,68794,108,124.4,100.0,153.4,43053,90,270.9,211.6,341.0,17411,,,,,New Castle 8
A9009,Male,Prostate,05yrs,160453,250,141.8,123.8,161.7,111699,147,109.0,91.0,129.7,37241,78,242.9,187.5,309.4,6216,,,,,New Castle 9
A9010,Male,Prostate,05yrs,146512,180,107.9,92.5,125.1,71480,99,92.4,74.8,113.7,35668,56,163.9,121.8,215.8,35570,,,,,New Castle 2
A9011,Male,Prostate,05yrs,142998,277,134.8,119.1,152.2,102522,184,112.7,96.8,131.0,26991,74,213.0,164.9,272.0,10280,,,,,Kent 2
A9012,Male,Prostate,05yrs,141909,218,133.1,115.5,152.7,56765,84,95.5,75.5,120.0,53581,105,188.4,152.5,230.4,24586,,,,,New Castle 6
A9013,Male,Prostate,05yrs,139059,208,136.0,117.3,156.8,38394,54,108.0,79.6,144.3,86848,128,136.7,113.2,163.8,10507,,,,,New Castle 1
A9014,Male,Prostate,05yrs,154211,194,109.0,93.9,125.9,86423,115,88.1,72.5,106.6,32931,60,196.7,147.5,256.9,22842,,,,,New Castle 5
A9015,Male,Prostate,05yrs,187917,418,126.8,114.5,140.2,131528,346,118.4,105.8,132.7,26079,50,169.6,123.8,227.6,27030,,,,,Sussex 1
Nationwide,Male,Prostate,05yrs,796689060,1060868,109.8,109.6,110.0,494184486,755608,103.5,103.3,103.7,101599058,167402,176.0,175.1,176.9,146366990,76643,87.2,86.5,87.8,
Statewide,Male,Prostate,05yrs,2314799,4057,126.0,122.1,130.0,1470172,2694,107.4,103.3,111.7,513681,990,188.2,176.2,200.8,225177,109,102.0,82.1,124.7,
A9001,Both,Lung,05yrs,313287,135,43.6,36.4,51.9,233407,123,47.1,38.9,56.6,33817,,,,,19099,,,,,New Castle 7
A9002,Both,Lung,05yrs,294749,241,64.3,56.3,73.3,191624,198,72.8,62.8,84.1,75967,33,42.6,29.0,60.4,17558,,,,,Kent 1
A9003,Both,Lung,05yrs,329254,269,50.9,44.9,57.7,244777,240,54.4,47.6,62.2,45757,22,36.9,22.9,57.1,14122,,,,,New Castle 4
A9004,Both,Lung,05yrs,386847,561,59.2,53.9,65.1,334087,534,60.0,54.4,66.4,23497,,,,,21502,,,,,Sussex 3
A9005,Both,Lung,05yrs,315313,183,33.1,28.4,38.6,261890,168,34.3,29.1,40.3,16811,,,,,13673,,,,,New Castle 3
A9006,Both,Lung,05yrs,294002,246,68.4,60.1,77.7,154532,161,69.9,59.3,82.0,102247,78,78.7,61.9,98.7,25033,,,,,Kent 3
A9007,Both,Lung,05yrs,353931,337,61.4,54.9,68.6,249126,293,64.5,57.1,72.9,68967,34,50.4,34.2,71.6,29298,,,,,Sussex 2
A9008,Both,Lung,05yrs,295969,190,81.6,69.1,95.6,139882,158,110.6,92.1,131.7,92870,25,40.0,24.3,61.1,33816,,,,,New Castle 8
A9009,Both,Lung,05yrs,312126,219,71.7,62.0,82.5,218973,187,76.8,65.6,89.4,69929,27,61.9,39.5,91.3,12282,,,,,New Castle 9
A9010,Both,Lung,05yrs,304022,237,63.8,55.8,72.7,151330,185,75.1,64.1,87.7,75777,40,53.5,37.8,73.4,69396,,,,,New Castle 2
A9011,Both,Lung,05yrs,294744,303,74.2,65.9,83.4,210872,270,82.5,72.7,93.5,56960,24,37.5,23.5,57.2,19835,,,,,Kent 2
A9012,Both,Lung,05yrs,298228,237,71.4,62.3,81.4,118689,165,88.8,75.3,104.5,116324,66,59.6,45.2,77.0,49038,,,,,New Castle 6
A9013,Both,Lung,05yrs,292177,224,69.1,60.1,79.2,76274,72,67.9,52.7,86.9,188827,151,76.3,64.2,89.9,20307,,,,,New Castle 1
A9014,Both,Lung,05yrs,320448,286,73.2,64.8,82.4,182608,248,86.2,75.5,98.3,70222,31,48.0,31.6,69.6,44773,,,,,New Castle 5
A9015,Both,Lung,05yrs,381141,428,65.0,58.7,71.8,271412,400,69.3,62.3,77.2,50423,22,44.3,27.1,68.3,52081,,,,,Sussex 1
Nationwide,Both,Lung,05yrs,1617979533,1121286,56.3,56.1,56.4,1002418996,908015,60.6,60.5,60.7,212147875,117692,58.2,57.9,58.6,289871306,51965,29.1,28.9,29.4,
Statewide,Both,Lung,05yrs,4786239,4127,61.8,59.9,63.7,3039483,3427,66.2,63.9,68.5,1088395,587,54.9,50.4,59.7,441816,57,30.0,22.3,39.1,
A9001,Female,Lung,05yrs,162386,64,39.1,29.9,50.2,120378,58,42.8,32.4,56.0,17798,,,,,10849,,,,,New Castle 7
A9002,Female,Lung,05yrs,152387,125,60.1,49.9,72.0,98855,106,71.0,57.9,86.6,39822,,,,,8591,,,,,Kent 1
A9003,Female,Lung,05yrs,171004,159,53.3,45.2,62.8,126951,140,55.8,46.8,66.7,25044,,,,,6208,,,,,New Castle 4
A9004,Female,Lung,05yrs,202011,265,51.9,45.2,59.8,175400,255,54.1,46.7,63.1,12271,,,,,10419,,,,,Sussex 3
A9005,Female,Lung,05yrs,164390,96,32.4,26.1,40.3,136958,89,34.2,27.2,43.1,8873,,,,,6650,,,,,New Castle 3
A9006,Female,Lung,05yrs,153690,123,59.8,49.6,71.7,78800,86,68.2,54.1,85.3,54925,34,58.4,40.1,82.4,13110,,,,,Kent 3
A9007,Female,Lung,05yrs,183728,152,50.9,43.0,60.2,129535,128,52.0,43.1,62.7,37040,21,53.5,32.5,83.0,13724,,,,,Sussex 2
A9008,Female,Lung,05yrs,152016,93,74.0,58.2,92.5,71088,73,97.6,74.1,126.2,49817,17,45.4,24.8,75.0,16406,,,,,New Castle 8
A9009,Female,Lung,05yrs,151673,123,77.7,64.0,93.5,107274,106,82.8,67.1,101.2,32688,,,,,6066,,,,,New Castle 9
A9010,Female,Lung,05yrs,157510,126,60.9,50.5,72.9,79850,96,69.6,55.5,87.2,40109,26,59.0,38.3,87.1,33826,,,,,New Castle 2
A9011,Female,Lung,05yrs,151747,139,63.6,53.3,75.6,108350,126,72.7,60.3,87.3,29969,,,,,9555,,,,,Kent 2
A9012,Female,Lung,05yrs,156319,131,69.2,57.6,82.6,61925,93,88.3,70.8,109.9,62743,35,55.7,37.7,79.3,24452,,,,,New Castle 6
A9013,Female,Lung,05yrs,153117,110,59.2,48.5,71.8,37880,32,55.9,37.7,81.6,101979,78,66.5,52.2,83.5,9801,,,,,New Castle 1
A9014,Female,Lung,05yrs,166237,141,61.8,51.9,73.3,96185,124,73.5,60.6,88.9,37291,,,,,21931,,,,,New Castle 5
A9015,Female,Lung,05yrs,193224,196,54.8,47.1,63.6,139883,185,59.3,50.6,69.7,24344,,,,,25052,,,,,Sussex 1
Nationwide,Female,Lung,05yrs,821290473,545393,50.3,50.2,50.5,508234510,445753,55.5,55.3,55.7,110548817,54562,46.9,46.5,47.3,143504316,24580,24.5,24.2,24.8,
Statewide,Female,Lung,05yrs,2471440,2062,56.3,53.8,58.8,1569311,1712,60.7,57.8,63.8,574714,299,49.0,43.4,55.0,216639,25,25.2,15.8,37.5,
A9001,Male,Lung,05yrs,150901,71,48.2,37.3,61.5,113029,65,51.3,39.1,66.2,16019,,,,,8250,,,,,New Castle 7
A9002,Male,Lung,05yrs,142362,116,70.4,57.8,85.0,92769,92,75.8,60.7,93.8,36146,18,54.7,31.8,87.5,8967,,,,,Kent 1
A9003,Male,Lung,05yrs,158251,110,47.8,39.1,58.1,117826,100,52.3,42.2,64.5,20713,,,,,7914,,,,,New Castle 4
A9004,Male,Lung,05yrs,184836,296,68.3,59.9,78.0,158687,279,67.4,58.9,77.7,11226,,,,,11083,,,,,Sussex 3
A9005,Male,Lung,05yrs,150923,87,34.7,27.7,43.3,124932,79,34.9,27.6,44.3,7938,,,,,7023,,,,,New Castle 3
A9006,Male,Lung,05yrs,140312,123,80.4,66.7,96.2,75732,75,73.5,57.7,92.9,47323,44,107.3,77.4,144.7,11924,,,,,Kent 3
A9007,Male,Lung,05yrs,170203,185,74.9,64.2,87.0,119592,165,80.5,68.3,94.7,31926,,,,,15574,,,,,Sussex 2
A9008,Male,Lung,05yrs,143953,97,91.5,71.9,114.5,68794,85,126.3,97.7,160.6,43053,,,,,17411,,,,,New Castle 8
A9009,Male,Lung,05yrs,160453,96,65.7,52.2,81.6,111699,81,70.2,54.5,88.9,37241,,,,,6216,,,,,New Castle 9
A9010,Male,Lung,05yrs,146512,111,69.1,56.7,83.5,71480,89,84.3,67.3,105.1,35668,,,,,35570,,,,,New Castle 2
A9011,Male,Lung,05yrs,142998,164,86.0,73.0,100.8,102522,144,93.2,78.2,110.7,26991,,,,,10280,,,,,Kent 2
A9012,Male,Lung,05yrs,141909,106,75.0,60.9,91.3,56765,72,92.1,71.3,117.8,53581,31,67.1,44.0,97.4,24586,,,,,New Castle 6
A9013,Male,Lung,05yrs,139059,114,84.9,69.2,103.0,38394,40,84.7,59.0,118.8,86848,73,92.8,71.8,118.0,10507,,,,,New Castle 1
A9014,Male,Lung,05yrs,154211,145,89.2,75.0,105.4,86423,124,104.0,86.1,125.0,32931,19,67.3,39.1,107.2,22842,,,,,New Castle 5
A9015,Male,Lung,05yrs,187917,232,77.0,67.0,88.3,131528,215,81.4,70.2,94.4,26079,16,69.5,38.1,115.5,27030,,,,,Sussex 1
Nationwide,Male,Lung,05yrs,796689060,575893,64.0,63.8,64.2,494184486,462262,67.2,67.0,67.4,101599058,63130,74.7,74.1,75.3,146366990,27385,35.6,35.2,36.1,
Statewide,Male,Lung,05yrs,2314799,2065,68.9,65.9,72.0,1470172,1715,73.1,69.6,76.8,513681,288,63.5,56.0,71.7,225177,32,35.7,23.8,50.7,
A9001,Both,CRC,05yrs,313287,92,29.2,23.4,36.1,233407,78,29.6,23.2,37.4,33817,,,,,19099,,,,,New Castle 7
A9002,Both,CRC,05yrs,294749,112,33.0,27.1,40.0,191624,87,36.6,29.0,45.6,75967,20,26.9,16.2,41.9,17558,,,,,Kent 1
A9003,Both,CRC,05yrs,329254,157,33.7,28.3,39.8,244777,127,33.1,27.1,40.2,45757,18,33.5,19.5,54.0,14122,,,,,New Castle 4
A9004,Both,CRC,05yrs,386847,254,32.4,27.8,37.6,334087,236,31.8,27.1,37.4,23497,,,,,21502,,,,,Sussex 3
A9005,Both,CRC,05yrs,315313,154,32.9,27.5,39.1,261890,131,31.2,25.6,37.9,16811,,,,,13673,,,,,New Castle 3
A9006,Both,CRC,05yrs,294002,130,38.8,32.2,46.3,154532,87,40.8,32.3,51.1,102247,34,37.3,25.6,52.5,25033,,,,,Kent 3
A9007,Both,CRC,05yrs,353931,152,31.4,26.4,37.2,249126,124,32.5,26.6,39.5,68967,22,30.8,18.9,47.6,29298,,,,,Sussex 2
A9008,Both,CRC,05yrs,295969,129,51.8,42.1,63.0,139882,81,58.1,44.7,74.2,92870,40,51.1,34.7,72.3,33816,,,,,New Castle 8
A9009,Both,CRC,05yrs,312126,144,48.9,40.8,58.1,218973,115,52.1,42.6,63.1,69929,21,39.9,23.3,63.0,12282,,,,,New Castle 9
A9010,Both,CRC,05yrs,304022,142,37.6,31.6,44.5,151330,87,36.3,28.7,45.7,75777,38,47.7,33.6,65.9,69396,,,,,New Castle 2
A9011,Both,CRC,05yrs,294744,183,48.7,41.7,56.6,210872,148,50.0,42.0,59.2,56960,26,44.8,28.4,67.0,19835,,,,,Kent 2
A9012,Both,CRC,05yrs,298228,131,39.7,33.0,47.3,118689,71,38.9,30.1,49.8,116324,41,35.1,24.7,48.4,49038,,,,,New Castle 6
A9013,Both,CRC,05yrs,292177,130,41.4,34.3,49.4,76274,32,34.4,22.9,50.0,188827,93,48.1,38.5,59.3,20307,,,,,New Castle 1
A9014,Both,CRC,05yrs,320448,143,38.5,32.3,45.6,182608,111,42.7,34.7,52.3,70222,19,26.9,15.7,43.1,44773,,,,,New Castle 5
A9015,Both,CRC,05yrs,381141,215,39.0,33.5,45.2,271412,187,40.7,34.2,48.3,50423,20,39.3,23.4,62.1,52081,,,,,Sussex 1
Nationwide,Both,CRC,05yrs,1617979533,719362,37.6,37.6,37.7,1002418996,522656,37.6,37.5,37.8,212147875,86995,43.0,42.7,43.3,289871306,68477,33.7,33.4,34.0,
Statewide,Both,CRC,05yrs,4786239,2284,37.2,35.6,38.8,3039483,1713,37.4,35.6,39.4,1088395,425,39.7,35.9,43.8,441816,92,38.4,30.2,47.9,
A9001,Female,CRC,05yrs,162386,41,25.4,18.1,34.9,120378,35,25.7,17.7,36.4,17798,,,,,10849,,,,,New Castle 7
A9002,Female,CRC,05yrs,152387,50,27.0,19.9,36.0,98855,41,32.4,22.8,44.8,39822,,,,,8591,,,,,Kent 1
A9003,Female,CRC,05yrs,171004,72,27.2,20.9,34.9,126951,59,27.8,20.5,37.2,25044,,,,,6208,,,,,New Castle 4
A9004,Female,CRC,05yrs,202011,124,31.7,25.3,39.7,175400,112,30.1,23.5,38.6,12271,,,,,10419,,,,,Sussex 3
A9005,Female,CRC,05yrs,164390,80,29.0,22.5,37.2,136958,72,29.7,22.6,39.0,8873,,,,,6650,,,,,New Castle 3
A9006,Female,CRC,05yrs,153690,56,30.8,22.9,40.6,78800,38,35.6,24.2,50.7,54925,,,,,13110,,,,,Kent 3
A9007,Female,CRC,05yrs,183728,69,26.3,20.2,33.9,129535,55,26.5,19.4,35.7,37040,,,,,13724,,,,,Sussex 2
A9008,Female,CRC,05yrs,152016,65,47.6,35.5,62.4,71088,41,57.8,39.7,81.0,49817,20,40.1,22.8,65.3,16406,,,,,New Castle 8
A9009,Female,CRC,05yrs,151673,69,45.0,34.7,57.6,107274,53,47.2,35.0,62.4,32688,,,,,6066,,,,,New Castle 9
A9010,Female,CRC,05yrs,157510,80,39.0,30.6,49.0,79850,50,38.7,27.8,53.4,40109,19,42.9,25.7,67.5,33826,,,,,New Castle 2
A9011,Female,CRC,05yrs,151747,92,45.9,36.7,56.8,108350,75,47.7,37.1,60.6,29969,,,,,9555,,,,,Kent 2
A9012,Female,CRC,05yrs,156319,66,36.2,27.8,46.4,61925,36,35.5,24.6,50.8,62743,19,26.2,15.4,42.0,24452,,,,,New Castle 6
A9013,Female,CRC,05yrs,153117,63,35.7,27.2,46.2,37880,,,,,101979,49,43.0,31.5,57.4,9801,,,,,New Castle 1
